Data,Real,Previsao
2017-12-02,91971.7,161207.4
2017-12-12,96581.0,106301.1
2017-12-16,156666.9,160507.16
2017-12-17,97623.8,150977.12
2017-12-20,119996.1,130345.79
2017-12-22,80796.3,72899.84
2017-12-27,338503.3,362950.6
2017-12-31,285149.4,219112.75
2018-01-07,268514.5,207122.27
2018-01-08,80633.4,110712.8
2018-01-09,222073.5,141889.4
2018-01-10,313493.7,237864.44
2018-01-11,256318.3,234392.47
2018-01-13,154203.9,139917.81
2018-01-15,70476.7,52052.223
2018-01-17,168841.1,135432.6
2018-01-18,94371.1,95323.05
2018-01-22,108476.4,79967.67
2018-01-24,50675.8,57394.195
2018-02-08,97115.7,138065.9
2018-02-16,46909.4,71813.5
2018-02-18,199199.6,125792.516
2018-02-19,103645.7,126898.89
2018-02-20,128023.0,127460.56
2018-02-23,96059.9,136376.17
2018-02-25,63101.0,128979.945
2018-03-01,328786.2,353794.16
2018-03-04,216929.9,219323.97
2018-03-10,365185.0,344280.7
2018-03-13,212900.3,171323.78
2018-03-15,303239.3,290732.78
2018-03-16,213735.4,228259.47
2018-04-03,359196.8,333708.3
2018-04-04,271927.1,281613.0
2018-04-09,185031.1,206618.5
2018-04-17,46308.8,81581.625
2018-04-24,80114.8,52409.582
2018-04-25,122878.7,103937.6
2018-04-26,132699.0,77612.18
2018-04-28,92178.0,164137.9
2018-05-05,86389.5,104166.49
2018-05-06,49209.1,61274.406
2018-05-08,120834.1,102879.24
2018-05-10,129269.2,80197.78
2018-05-18,81129.9,13610.574
2018-05-19,57480.9,53666.617
2018-05-22,20490.9,22635.6
2018-05-24,76050.8,19167.635
2018-05-25,31900.0,70258.3
2018-05-29,49439.5,109993.375
2018-05-30,59316.3,108275.22
2018-06-05,103432.2,156070.02
2018-06-06,88773.5,131456.12
2018-06-10,125886.2,138571.3
2018-06-14,96595.6,95484.34
2018-06-29,34762.9,50022.79
2018-06-30,47930.8,74566.984
2018-07-01,103822.2,117970.54
2018-07-07,70518.1,95182.54
2018-07-08,61484.1,67137.83
2018-07-11,53850.4,86002.44
2018-07-12,68234.4,64611.67
2018-07-13,48887.8,60693.855
2018-07-16,75049.0,100952.266
2018-07-22,75736.7,72516.19
2018-07-28,95770.9,114917.26
2018-07-31,79796.7,106807.36
2018-08-11,68943.0,85296.04
2018-08-12,108061.3,120337.87
2018-08-23,71274.0,78726.75
2018-08-25,107186.0,104475.234
2018-08-29,127692.0,133126.27
2018-09-01,111404.8,96396.766
2018-09-02,69209.8,61550.465
2018-09-12,38900.7,32764.041
2018-09-18,38807.6,77021.19
2018-09-28,39842.3,63949.87
2018-09-30,60935.8,71351.39
2018-10-01,169358.3,109999.59
2018-10-02,189505.1,198508.7
2018-10-03,95984.8,136391.94
2018-10-04,51225.7,44065.758
2018-10-07,212461.0,114236.71
2018-10-08,193995.8,158073.33
2018-10-12,186993.9,168238.66
2018-10-15,142403.7,105860.06
2018-10-16,21765.9,101129.67
2018-10-17,58671.1,64927.13
2018-10-22,105325.5,137675.81
